spp,stockid,year,overfished,overfishing
pollachius virens,pollnear,2017,FALSE,FALSE
pollachius virens,pollns-vi-iiia,2015,FALSE,FALSE
pollachius virens,pollns-vi-iiia,2016,FALSE,FALSE
pollachius virens,pollns-vi-iiia,2017,FALSE,FALSE
pseudopleuronectes americanus,winfloun4t,2015,TRUE,NA
pseudopleuronectes americanus,winfloun4t,2016,TRUE,NA
pseudopleuronectes americanus,winfloun5z,2015,TRUE,FALSE
pseudopleuronectes americanus,winfloun5z,2016,TRUE,FALSE
reinhardtius hippoglossoides,ghalbsai,2015,TRUE,NA
reinhardtius hippoglossoides,ghalbsai,2016,FALSE,NA
reinhardtius hippoglossoides,ghalbsai,2017,FALSE,NA
reinhardtius hippoglossoides,ghalv-vi-xii-xiv,2015,TRUE,TRUE
reinhardtius hippoglossoides,ghalv-vi-xii-xiv,2016,TRUE,TRUE
reinhardtius hippoglossoides,ghalv-vi-xii-xiv,2017,TRUE,TRUE
rhomboplites aurorubens,vsnapsatlc,2015,FALSE,FALSE
rhomboplites aurorubens,vsnapsatlc,2016,FALSE,FALSE
salilota australis,patcodargs,2015,TRUE,FALSE
salilota australis,patcodargs,2016,TRUE,FALSE
salilota australis,patcodargs,2017,TRUE,FALSE
sardina pilchardus,sardpviiic-ixa,2015,TRUE,TRUE
sardina pilchardus,sardpviiic-ixa,2016,TRUE,TRUE
sardina pilchardus,sardpviiic-ixa,2017,TRUE,TRUE
sardina pilchardus,sardviiiabd,2015,FALSE,FALSE
sardina pilchardus,sardviiiabd,2016,FALSE,TRUE
sardina pilchardus,sardviiiabd,2017,FALSE,TRUE
sardinella aurita,rsardcwaciv-ben,2017,TRUE,TRUE
sardinella maderensis,msardcwaciv-ben,2017,TRUE,TRUE
sardinops sagax,sardwse,2015,FALSE,FALSE
sardinops sagax,sardwse,2016,FALSE,FALSE
sardinops sagax,sardwse,2017,FALSE,FALSE
scomber australasicus,bmackecs,2015,TRUE,FALSE
scomber australasicus,bmackecs,2016,TRUE,TRUE
scomber australasicus,bmackecs,2017,TRUE,FALSE
scomber australasicus,bmackpjpn,2015,TRUE,TRUE
scomber australasicus,bmackpjpn,2016,TRUE,TRUE
scomber australasicus,bmackpjpn,2017,TRUE,TRUE
scomber colias,acmacksarg,2015,FALSE,FALSE
scomber colias,acmacksarg,2016,TRUE,FALSE
