worms_sciname,am_sciname,am_sid,iucn_sid
ircinia campana,ircinia campana,W-Por-165009,NA
ircinia felix,ircinia felix,W-Por-165020,NA
ircinia ramosa,ircinia ramosa,W-Por-165043,NA
ircinia strobilina,ircinia strobilina,W-Por-165051,NA
hippospongia gossypina,hippospongia gossypina,W-Por-165107,NA
hippospongia lachne,hippospongia lachne,W-Por-165108,NA
hyattella intestinalis,hyattella intestinalis,W-Por-132378,NA
spongia obscura,spongia obscura,SLB-86213,NA
spongia officinalis,spongia officinalis,SLB-86214,NA
spongia tubulifera,spongia tubulifera,SLB-86216,NA
dactylospongia elegans,dactylospongia elegans,W-Por-165312,NA
phyllospongia papyracea,phyllospongia papyracea,W-Por-165287,NA
smenospongia aurea,smenospongia aurea,W-Por-184445,NA
cliona caribbaea,cliona caribbaea,W-Por-170432,NA
cliona celata,cliona celata,W-Por-134121,NA
cliothosa delitrix,cliona delitrix,W-Por-170437,NA
cliona lobata,cliona lobata,W-Por-134131,NA
cliona schmidtii,cliona schmidti,SLB-86266,NA
spheciospongia confoederata,spheciospongia confoederata,W-Por-170531,NA
spheciospongia vesparium,spheciospongia vesparium,W-Por-170566,NA
placospongia carinata,placospongia carinata,W-Por-170611,NA
placospongia melobesioides,placospongia melobesioides,W-Por-170615,NA
polymastia pacifica,polymastia pacifica,SLB-86283,NA
tentorium semisuberites,tentorium semisuberites,W-Por-134224,NA
diplastrella bistellata,diplastrella bistellata,W-Por-134317,NA
spirastrella coccinea,spirastrella coccinea,W-Por-170705,NA
stylocordyla borealis,stylocordyla borealis,W-Por-134240,NA
aaptos aaptos,aaptos aaptos,W-Por-134241,NA
suberites carnosus,suberites carnosus,W-Por-134275,NA
suberites domuncula,suberites domuncula,W-Por-134282,NA
terpios fugax,terpios fugax,W-Por-134307,NA
tethya actinia,tethya actinia,W-Por-170932,NA
tethya seychellensis,tethya seychellensis,W-Por-170991,NA
axinella polycapella,axinella polycapella,W-Por-165501,NA
axinella rugosa,axinella rugosa,W-Por-132491,NA
phakellia folium,phakellia folium,W-Por-165581,NA
bubaris vermiculata,bubaris vermiculata,W-Por-132521,NA
leptostylis ampullacea,leptostylis ampullacea,W-Cum-110501,NA
higginsia strigilata,higginsia strigilata,W-Por-132544,NA
myrmekioderma granulatum,myrmekioderma granulatum,W-Por-166018,NA
leptostylis longimana,leptostylis longimana,W-Cum-110503,NA
ciocalypta penicillus,ciocalypta penicillus,W-Por-132575,NA
halichondria magniconulosa,halichondria magniconulosa,SLB-86409,NA
leptostylis macrura,leptostylis macrura,W-Cum-110504,NA
halichondria melanadocia,halichondria melanadocia,SLB-86410,NA
halichondria panicea,halichondria panicea,SLB-86412,NA
hymeniacidon heliophila,hymeniacidon heliophila,W-Por-132652,NA
callyspongia fallax,callyspongia fallax,SLB-86434,NA
callyspongia aculeata,callyspongia vaginalis,SLB-86435,NA
